Mm6,Mp6,Ms6,Mm5,Mp5,Ms5,Mm4,Mp4,Ms4,Mm3,Mp3,Ms3,MS,S
15,17,17,12,15,15,16,15,17,14,13,16,13.69,1
18,17,16,18,16,14,16,14,11,9,9,15,13.01,1
13,15,13,10,11,10,12,12,12,13,10,11,12.42,1
15,14,12,13,15,12,13,13,14,9,11,8,13.57,1
16,14,8,15,13,18,16,13,13,13,12,11,13.85,1
11,14,15,9,15,15,12,13,13,15,16,16,13.95,1
12,10,10,11,9,12,13,13,6,11,13,7,11.7,1
15,15,14,15,13,13,15,13,13,10,10,10,12.09,1
16,16,16,15,13,17,16,13,17,11,12,12,13.84,1
18,17,18,15,18,14,15,16,17,10,15,12,14.08,1
17,16,17,17,17,19,16,16,14,15,15,14,15.44,2
17,15,16,17,16,17,15,15,11,17,15,9,14.98,2
18,16,17,16,17,19,13,14,17,16,15,15,14.66,2
20,18,19,19,18,19,20,18,20,19,19,18,17.58,2
16,14,17,15,16,17,16,15,18,16,16,16,15.44,2
17,18,18,15,17,18,15,18,17,16,14,18,16.33,2
13,13,16,12,15,14,10,14,14,12,15,14,14.88,2
17,17,17,15,15,14,14,18,16,15,13,15,14.56,2
19,19,19,17,18,18,18,19,19,16,17,19,17.66,2
17,17,17,15,16,16,15,17,16,14,13,18,15.36,2
15,16,16,15,17,18,17,19,17,16,14,13,15.13,2
12,15,12,15,16,17,17,17,15,17,15,13,15.49,2
20,18,19,19,18,19,19,19,19,19,19,15,18,2
17,17,17,18,18,17,19,17,14,18,16,19,15.42,2
15,17,15,15,18,16,17,17,11,17,17,18,15.05,2
18,17,17,17,19,17,17,18,13,15,16,17,16.08,2
18,17,17,17,19,16,19,18,14,17,16,18,15.43,2
19,18,17,18,19,17,18,18,19,18,19,19,16.4,2
19,19,19,17,18,17,17,16,19,17,17,18,15.46,2
17,18,17,16,17,16,17,19,15,15,16,18,14.92,2
18,18,15,19,17,16,19,20,12,16,17,18,14.78,2
15,18,17,17,18,14,18,19,18,17,18,18,15.92,2
17,18,17,18,18,12,18,18,16,16,16,18,15.43,2
